Id,English
DragonText,Tap on me to watch an ad and get additional gold
WhileYouWereAway,While you were away your automation gained:
EnglishLanguage,English
UkrainianLanguage,Ukrainian
RussianLanguage,Russian
Automation1,Click power
Automation2,Assistant robot
Automation3,Icon master
Automation4,Quality materials
Automation5,Comfort
Automation6,Master of his craft
Automation7,Badge squad
Automation8,Badge Factory
Automation9,Automated arm
Automation10,Office
Automation11,Automatic conveyor
Automation12,Badge guru
